# .test .cputime .temperature .time_mat1 .time_mat2
1 0.001599  0.000 0.000025 0.000003
2 0.003022  0.000 0.000004 0.000004
3 0.004976 -0.487 0.000032 0.000004
4 0.006473 -0.487 0.000004 0.000004
5 0.008153 -0.487 0.000024 0.000004
6 0.009813 -0.487 0.000016 0.000005
7 0.011069 -0.487 0.000026 0.000004
8 0.012535  0.000 0.000017 0.000005
9 0.013913 -0.487 0.000027 0.000007
10 0.015158 -0.487 0.000018 0.000007
11 0.016619  0.000 0.000029 0.000008
12 0.016474 -0.974 0.000020 0.000008
13 0.018019 -0.487 0.000030 0.000010
14 0.019102  0.487 0.000022 0.000011
15 0.020625  0.487 0.000032 0.000012
16 0.021788  0.487 0.000024 0.000013
17 0.023391 -1.461 0.000026 0.000015
18 0.024687 -0.974 0.000035 0.000016
19 0.026198 -0.487 0.000029 0.000018
20 0.025957  0.487 0.000037 0.000019
21 0.027395 -0.487 0.000031 0.000020
22 0.028684  0.487 0.000041 0.000023
23 0.030360 -0.487 0.000034 0.000025
24 0.031574  0.487 0.000044 0.000027
25 0.033379 -0.487 0.000037 0.000029
26 0.034095  0.487 0.000047 0.000032
27 0.036502 -0.974 0.000042 0.000034
28 0.033989  0.487 0.000052 0.000036
29 0.036019  0.000 0.000033 0.000039
30 0.036943 -0.487 0.000065 0.000041
31 0.037876  0.487 0.000037 0.000044
32 0.039218  0.487 0.000070 0.000046
33 0.041317  0.974 0.000038 0.000045
34 0.043502  0.487 0.000070 0.000048
35 0.042591  0.000 0.000042 0.000052
36 0.042537 -0.974 0.000075 0.000054
37 0.043703  0.000 0.000047 0.000057
38 0.045924  0.974 0.000080 0.000060
39 0.047150 -0.487 0.000051 0.000064
40 0.048379 -0.974 0.000086 0.000067
41 0.049798  0.487 0.000057 0.000070
42 0.051575  0.974 0.000092 0.000073
43 0.050765  0.000 0.000063 0.000078
44 0.050705  0.974 0.000097 0.000081
45 0.051687  0.974 0.000067 0.000083
46 0.053176 -0.487 0.000103 0.000086
47 0.055620  0.487 0.000073 0.000090
48 0.056989  1.948 0.000108 0.000094
49 0.058257  0.974 0.000078 0.000099
50 0.059402  0.974 0.000114 0.000101
51 0.059815  0.487 0.000084 0.000163
52 0.058946  0.487 0.000120 0.000111
53 0.060713  0.487 0.000091 0.000114
54 0.061888  0.000 0.000128 0.000117
55 0.062870  0.000 0.000098 0.000122
56 0.065582  0.487 0.000127 0.000126
57 0.067403  0.487 0.000116 0.000136
58 0.068133  0.487 0.000130 0.000135
59 0.067922  1.461 0.000125 0.000140
60 0.067712  0.487 0.000138 0.000143
61 0.068883  1.948 0.000133 0.000148
62 0.071026  0.974 0.000188 0.000154
63 0.071511  1.461 0.000139 0.000158
64 0.073545  0.487 0.000152 0.000161
65 0.075361  0.974 0.000147 0.000166
66 0.076936  1.461 0.000162 0.000171
67 0.076487  0.000 0.000155 0.000175
68 0.076471  0.487 0.000168 0.000179
69 0.077498  0.000 0.000163 0.000184
70 0.078796  0.974 0.000169 0.000191
71 0.080254  1.461 0.000186 0.000208
72 0.082326  1.461 0.000178 0.000200
73 0.083171  0.000 0.000196 0.000211
74 0.084253  0.974 0.000187 0.000210
75 0.085147  1.461 0.000206 0.000215
76 0.084904  0.487 0.000195 0.000223
77 0.086239  1.948 0.000214 0.000236
78 0.087404  1.948 0.000206 0.000234
79 0.088497  0.487 0.000226 0.000244
80 0.089672  0.487 0.000216 0.000245
81 0.091304  1.461 0.000235 0.000251
82 0.092931  1.461 0.000209 0.000258
83 0.092326  1.461 0.000249 0.000264
84 0.093456  1.948 0.000219 0.000270
85 0.094786  1.948 0.000267 0.000275
86 0.095898  2.435 0.000230 0.000283
87 0.097026  1.461 0.000274 0.000290
88 0.098387  1.461 0.000241 0.000299
89 0.100120  1.461 0.000279 0.000321
90 0.099849  1.948 0.000252 0.000313
91 0.101281  0.487 0.000299 0.000318
92 0.101188  1.461 0.000262 0.000326
93 0.102067  1.461 0.000311 0.000332
94 0.104691  1.948 0.000312 0.000341
95 0.105656  1.461 0.000315 0.000347
96 0.107152  1.461 0.000284 0.000354
97 0.108632  1.461 0.000325 0.000362
98 0.108355  0.974 0.000297 0.000369
99 0.109714  2.435 0.000348 0.000376
100 0.110098  1.461 0.000310 0.000383
101 0.110980  1.948 0.000402 0.000392
102 0.111614  0.974 0.000321 0.000432
103 0.114443  1.461 0.000374 0.000405
104 0.115747  1.461 0.000334 0.000414
105 0.117382  1.948 0.000385 0.000421
106 0.117063  0.487 0.000390 0.000472
107 0.118786  1.461 0.000397 0.000500
108 0.117975  1.461 0.000360 0.000446
109 0.120099  1.948 0.000437 0.000453
110 0.120281  1.461 0.000391 0.000462
111 0.122275  1.461 0.000405 0.000469
112 0.124266  1.948 0.000409 0.000477
113 0.125409  1.948 0.000422 0.000485
114 0.125702  1.461 0.000417 0.000494
115 0.126968  2.435 0.000438 0.000501
116 0.124709  2.435 0.000437 0.000547
117 0.128127  2.435 0.000456 0.000519
118 0.129419  2.435 0.000447 0.000525
119 0.130164  2.435 0.000523 0.000535
120 0.132915  2.922 0.000458 0.000584
121 0.133260  1.948 0.000472 0.000554
122 0.133976  2.922 0.000486 0.000593
123 0.136118  2.922 0.000483 0.000571
124 0.135108  3.409 0.000504 0.000581
125 0.136743  2.922 0.000501 0.000592
126 0.138028  2.435 0.000517 0.000599
127 0.139471  1.948 0.000519 0.000609
128 0.139658  2.435 0.000536 0.000672
129 0.139666  2.435 0.000537 0.000629
130 0.141027  2.435 0.000553 0.000644
131 0.144686  2.435 0.000551 0.000650
132 0.144318  2.435 0.000565 0.000660
133 0.144589  3.896 0.000551 0.000670
134 0.145730  2.435 0.000590 0.000680
135 0.148137  3.409 0.000623 0.000692
136 0.148455  2.922 0.000605 0.000702
137 0.148228  1.948 0.000583 0.000712
138 0.150574  1.948 0.000623 0.000722
139 0.151705  2.922 0.000676 0.000794
140 0.152195  1.948 0.000644 0.000743
141 0.153604  2.922 0.000617 0.000847
142 0.154821  3.896 0.000659 0.000765
143 0.155997  1.948 0.000674 0.000777
144 0.157947  3.409 0.000674 0.000787
145 0.156504  1.461 0.000654 0.000798
146 0.157990  2.435 0.000703 0.000809
147 0.160239  2.435 0.000665 0.000820
148 0.160346  3.409 0.000713 0.000831
149 0.161228  2.922 0.000730 0.000896
150 0.161951  3.896 0.000731 0.000855
